@id,@type,notation,prefLabel,definition,inScheme,topConceptOf,,,
https://data.vlaanderen.be/id/concept/IT024/Situatie/v1/0010,http://www.w3.org/2004/02/skos/core#Concept,0010,Inschrijving bij OCMW,Persoon die bij gebrek aan voldoende middelen niet over een vaste verblijfplaats beschikt en ingeschreven is bij het OCMW.,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,,,
https://data.vlaanderen.be/id/concept/IT024/Situatie/v1/0011,http://www.w3.org/2004/02/skos/core#Concept,0011,Inschrijving bij een burger,Persoon die bij gebrek aan voldoende middelen niet over een vaste verblijfplaats beschikt en ingeschreven is bij een burger.,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,,,
https://data.vlaanderen.be/id/concept/IT024/Situatie/v1/0020,http://www.w3.org/2004/02/skos/core#Concept,0020,Mobiele woning,,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,,,
https://data.vlaanderen.be/id/concept/IT024/Situatie/v1/0021,http://www.w3.org/2004/02/skos/core#Concept,0021,Hechtenis,,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,,,
https://data.vlaanderen.be/id/concept/IT024/Situatie/v1/0022,http://www.w3.org/2004/02/skos/core#Concept,0022,Beroepsredenen,Beroepsredenen voor een maximale duur van 1 jaar.,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,,,
https://data.vlaanderen.be/id/concept/IT024/Situatie/v1/0023,http://www.w3.org/2004/02/skos/core#Concept,0023,Buitenlandse opdracht - Defensie,Persoon voert een buitenlandse opdracht uit voor Defensie.,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,,,
https://data.vlaanderen.be/id/concept/IT024/Situatie/v1/0024,http://www.w3.org/2004/02/skos/core#Concept,0024,Buitenlandse opdracht - Politie,Persoon voert een buitenlandse opdracht uit voor Politie.,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,,,
https://data.vlaanderen.be/id/concept/IT024/Situatie/v1/0025,http://www.w3.org/2004/02/skos/core#Concept,0025,Dienstplicht,,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,,,
https://data.vlaanderen.be/id/concept/IT024/Situatie/v1/0026,http://www.w3.org/2004/02/skos/core#Concept,0026,Buitenlandse opdracht - Ambtenaar,,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,,,
https://data.vlaanderen.be/id/concept/IT024/Situatie/v1/0027,http://www.w3.org/2004/02/skos/core#Concept,0027,Buitenlandse opdracht - Coöperatie,,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,,,
https://data.vlaanderen.be/id/concept/IT024/Situatie/v1/0028,http://www.w3.org/2004/02/skos/core#Concept,0028,Slachtoffer,,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,,,
https://data.vlaanderen.be/id/concept/IT024/Situatie/v1/UITZONDERING,http://www.w3.org/2004/02/skos/core#Concept,UITZONDERING,Onbekende code,De code is nog niet gekend bij MAGDA. Contacteer MAGDA via de Servicedesk.,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,,,
https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,http://www.w3.org/2004/02/skos/core#ConceptScheme,Situatie-v1,Codelijst IT024 Situatie (v1),Codelijst van de situaties in Informatie Type 024 'Referentieadres'.,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie,,,
https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie,http://www.w3.org/2004/02/skos/core#ConceptScheme,Situatie,Codelijst IT024 Situatie,Codelijst van de situaties in Informatie Type 024 'Referentieadres'.,https://data.vlaanderen.be/id/conceptscheme/IT024,https://data.vlaanderen.be/id/conceptscheme/IT024,,,
https://data.vlaanderen.be/id/conceptscheme/IT024,http://www.w3.org/2004/02/skos/core#ConceptScheme,IT024,Codelijst IT024,Codelijst van Informatie Type 024 'Referentieadres'.,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Persoon,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Persoon,,,
https://data.vlaanderen.be/id/conceptscheme/MAGDA/Persoon,http://www.w3.org/2004/02/skos/core#ConceptScheme,MAGDA-Persoon,Codelijsten Implementatiemodel MAGDA Persoon,Codelijsten toegepast in de implementatie van Persoon bij MAGDA volgens het Implementatiemodel MAGDA Persoon.,,,,,
