@id,@type,notation,prefLabel,definition,inScheme,topConceptOf,broader,remarks
https://data.vlaanderen.be/id/concept/IT002/Rechtvaardigheid/00,http://www.w3.org/2004/02/skos/core#Concept,00,Ongeldige rechtsvaardigheid,Rechtvaardiging is verworpen.,https://data.vlaanderen.be/id/conceptscheme/IT002/Rechtvaardigheid,https://data.vlaanderen.be/id/conceptscheme/IT002/Rechtvaardigheid,,"Beschouwd als 'verworpen' volgens IT002, echt nodig dan?"
https://data.vlaanderen.be/id/concept/IT002/Rechtvaardigheid/01,http://www.w3.org/2004/02/skos/core#Concept,01,Voldoet niet aan inschrijvingsvoorwaarden,Het dossier wordt gecreëerd terwijl de persoon niet voldoet aan de inschrijvingsvoorwaarden.,https://data.vlaanderen.be/id/conceptscheme/IT002/Rechtvaardigheid,https://data.vlaanderen.be/id/conceptscheme/IT002/Rechtvaardigheid,,
https://data.vlaanderen.be/id/concept/IT002/Rechtvaardigheid/02,http://www.w3.org/2004/02/skos/core#Concept,02,Fout in geboortedatum of geslacht,"Fout in de geboortedatum of betreffende het geslacht bij de verzameling (geblokkeerd 07.04.2020 – zie codes 08, 09 of 10)",https://data.vlaanderen.be/id/conceptscheme/IT002/Rechtvaardigheid,https://data.vlaanderen.be/id/conceptscheme/IT002/Rechtvaardigheid,,
https://data.vlaanderen.be/id/concept/IT002/Rechtvaardigheid/03,http://www.w3.org/2004/02/skos/core#Concept,03,Dubbele INSZ,Er bestaan twee identificatienummers voor dezelfde persoon.,https://data.vlaanderen.be/id/conceptscheme/IT002/Rechtvaardigheid,https://data.vlaanderen.be/id/conceptscheme/IT002/Rechtvaardigheid,,
https://data.vlaanderen.be/id/concept/IT002/Rechtvaardigheid/04,http://www.w3.org/2004/02/skos/core#Concept,04,Programmafout,Verzameling van meerdere dossiers per vergissing (programmafout).,https://data.vlaanderen.be/id/conceptscheme/IT002/Rechtvaardigheid,https://data.vlaanderen.be/id/conceptscheme/IT002/Rechtvaardigheid,,
https://data.vlaanderen.be/id/concept/IT002/Rechtvaardigheid/05,http://www.w3.org/2004/02/skos/core#Concept,05,Geslachtsverandering,De persoon veranderde van geslacht waarvoor er een nieuw dossier is aangemaakt of een bestaand dossier is hernomen.,https://data.vlaanderen.be/id/conceptscheme/IT002/Rechtvaardigheid,https://data.vlaanderen.be/id/conceptscheme/IT002/Rechtvaardigheid,,
https://data.vlaanderen.be/id/concept/IT002/Rechtvaardigheid/06,http://www.w3.org/2004/02/skos/core#Concept,06,Incorrecte identiteit,De indentiteit is incorrect ingegeven.,https://data.vlaanderen.be/id/conceptscheme/IT002/Rechtvaardigheid,https://data.vlaanderen.be/id/conceptscheme/IT002/Rechtvaardigheid,,
https://data.vlaanderen.be/id/concept/IT002/Rechtvaardigheid/07,http://www.w3.org/2004/02/skos/core#Concept,07,Stopzetting schijnrelatie,Stopzetting procedure schijnrelatie.,https://data.vlaanderen.be/id/conceptscheme/IT002/Rechtvaardigheid,https://data.vlaanderen.be/id/conceptscheme/IT002/Rechtvaardigheid,,
https://data.vlaanderen.be/id/concept/IT002/Rechtvaardigheid/08,http://www.w3.org/2004/02/skos/core#Concept,08,Geboortedatum fout verzameld,Fout in de geboortedatum bij de verzameling.,https://data.vlaanderen.be/id/conceptscheme/IT002/Rechtvaardigheid,https://data.vlaanderen.be/id/conceptscheme/IT002/Rechtvaardigheid,,
https://data.vlaanderen.be/id/concept/IT002/Rechtvaardigheid/09,http://www.w3.org/2004/02/skos/core#Concept,09,Geslacht fout verzameld,Fout betreffende het geslacht bij de verzameling.,https://data.vlaanderen.be/id/conceptscheme/IT002/Rechtvaardigheid,https://data.vlaanderen.be/id/conceptscheme/IT002/Rechtvaardigheid,,
https://data.vlaanderen.be/id/concept/IT002/Rechtvaardigheid/10,http://www.w3.org/2004/02/skos/core#Concept,10,Geslacht en geboortedatum fout verzameld,Fout in de geboortedatum en betreffende het geslacht bij de verzameling.,https://data.vlaanderen.be/id/conceptscheme/IT002/Rechtvaardigheid,https://data.vlaanderen.be/id/conceptscheme/IT002/Rechtvaardigheid,,
https://data.vlaanderen.be/id/conceptscheme/IT002/Rechtvaardigheid,http://www.w3.org/2004/02/skos/core#ConceptScheme,Rechtvaardigheid,Rechtvaardigheid,Codelijst van rechtvaardigingen voor dossierannulaties uit Informatie Type 002 'Referentiedossier'.,https://data.vlaanderen.be/id/conceptscheme/IT002,https://data.vlaanderen.be/id/conceptscheme/IT002,,
https://data.vlaanderen.be/id/conceptscheme/IT002,http://www.w3.org/2004/02/skos/core#ConceptScheme,IT002,Codelijst IT002,Codelijst van Informatie Type 002 'Referentiedossier'.,,,,
