@id,@type,notation,prefLabel,definition,inScheme,topConceptOf,note,,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/v1/00,http://www.w3.org/2004/02/skos/core#Concept,00,Wettig kind (stijgende lijn),,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,Wijzen van afstamming gelegen vóór 6 juni 1987.,,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/v1/01,http://www.w3.org/2004/02/skos/core#Concept,01,Gewettigd kind (stijgende lijn),,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,Wijzen van afstamming gelegen vóór 6 juni 1987.,,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/v1/02,http://www.w3.org/2004/02/skos/core#Concept,02,Niet erkend natuurlijk kind (stijgende lijn),,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,Wijzen van afstamming gelegen vóór 6 juni 1987.,,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/v1/03,http://www.w3.org/2004/02/skos/core#Concept,03,Erkend natuurlijk kind (stijgende lijn),,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,Wijzen van afstamming gelegen vóór 6 juni 1987.,,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/v1/04,http://www.w3.org/2004/02/skos/core#Concept,04,Geadopteerd kind (stijgende lijn),,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,Wijzen van afstamming gelegen vóór 6 juni 1987.,,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/v1/05,http://www.w3.org/2004/02/skos/core#Concept,05,Gewettigd kind ingevolgde adoptie (stijgende lijn),,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,Wijzen van afstamming gelegen vóór 6 juni 1987.,,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/v1/06,http://www.w3.org/2004/02/skos/core#Concept,06,Vondeling (stijgende lijn),,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,Wijzen van afstamming gelegen vóór 6 juni 1987.,,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/v1/07,http://www.w3.org/2004/02/skos/core#Concept,07,Natuurlijk kind ingevolge ontkenning (stijgende lijn),,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,Wijzen van afstamming gelegen vóór 6 juni 1987.,,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/v1/08,http://www.w3.org/2004/02/skos/core#Concept,08,Onbekende afstamming (stijgende lijn),,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,Wijzen van afstamming gelegen vóór 6 juni 1987.,,,
https://data.vlaanderen.be/id/concept/IT110/Afstammingstype/v1/09,http://www.w3.org/2004/02/skos/core#Concept,09,Onbepaalde afstamming (stijgende lijn),,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,https://data.vlaanderen.be/id/conceptscheme/IT110/Afstammingstype/v1,Wijzen van afstamming gelegen vóór 6 juni 1987.,,,
