@id,@type,notation,prefLabel,definition,inScheme,topConceptOf,exactMatch,,,
https://data.vlaanderen.be/id/concept/IT141/Woonvorm/v1/00,http://www.w3.org/2004/02/skos/core#Concept,00,Gewone gezinssamenstelling,"Normale gezinssamenstelling binnen Belgie, of een gezin in het buitenland.",https://data.vlaanderen.be/id/conceptscheme/IT141/Woonvorm/v1,https://data.vlaanderen.be/id/conceptscheme/IT141/Woonvorm/v1,,,,
https://data.vlaanderen.be/id/concept/IT141/Woonvorm/v1/01,http://www.w3.org/2004/02/skos/core#Concept,01,Zorgwonen (Vlaams Gewest),"Zorgwonen in het Vlaams Gewest is het creëren van een kleinere woongelegenheid in of bij een bestaande woning zodat maximaal twee oudere of hulpbehoevende personen kunnen inwonen. Om een zorgwoning te creëren moet de eigendom, of ten minste de blote eigendom van de hoofd- en de ondergeschikte wooneenheid aan dezelfde eigenaar toebehoren.",https://data.vlaanderen.be/id/conceptscheme/IT141/Woonvorm/v1,https://data.vlaanderen.be/id/conceptscheme/IT141/Woonvorm/v1,https://productencatalogus.vlaanderen.be/nl/concept/59329,,,
https://data.vlaanderen.be/id/concept/IT141/Woonvorm/v1/02,http://www.w3.org/2004/02/skos/core#Concept,02,Collectief wonen (Waals Gewest),Het gezin verblijft in een woning in het Waals gewest met verschillende wooneenheden waarbij ze hetzelfde huisnummer delen.,https://data.vlaanderen.be/id/conceptscheme/IT141/Woonvorm/v1,https://data.vlaanderen.be/id/conceptscheme/IT141/Woonvorm/v1,,,,
https://data.vlaanderen.be/id/concept/IT141/Woonvorm/v1/03,http://www.w3.org/2004/02/skos/core#Concept,03,Collectief wonen (Brussels Gewest),Het gezin verblijft in een woning in het Brussels gewest met verschillende wooneenheden waarbij ze hetzelfde huisnummer delen.,https://data.vlaanderen.be/id/conceptscheme/IT141/Woonvorm/v1,https://data.vlaanderen.be/id/conceptscheme/IT141/Woonvorm/v1,,,,
https://data.vlaanderen.be/id/concept/IT141/Woonvorm/v1/05,http://www.w3.org/2004/02/skos/core#Concept,05,Tijdelijke opvang,Gezin dat tijdelijk is opgevangen bij een pleeggezin die een deel van hun woning afstaan als tijdelijk verblijf voor het opgevangen gezin.,https://data.vlaanderen.be/id/conceptscheme/IT141/Woonvorm/v1,https://data.vlaanderen.be/id/conceptscheme/IT141/Woonvorm/v1,,,,
https://data.vlaanderen.be/id/conceptscheme/IT141/Woonvorm/v1/UITZONDERING,http://www.w3.org/2004/02/skos/core#Concept,UITZONDERING,Onbekende code,De code is nog niet gekend bij MAGDA. Contacteer MAGDA via de Servicedesk.,https://data.vlaanderen.be/id/conceptscheme/IT141/Woonvorm/v1,https://data.vlaanderen.be/id/conceptscheme/IT141/Woonvorm/v1,,,,
https://data.vlaanderen.be/id/conceptscheme/IT141/Woonvorm/v1,http://www.w3.org/2004/02/skos/core#ConceptScheme,Woonvorm-v1,Codelijst IT141 Woonvorm (v1),Codelijst van woonvormen uit Informatie Type 141 'Gezinslid'.,https://data.vlaanderen.be/id/conceptscheme/IT141/Woonvorm,https://data.vlaanderen.be/id/conceptscheme/IT141/Woonvorm,,,,
https://data.vlaanderen.be/id/conceptscheme/IT141/Woonvorm,http://www.w3.org/2004/02/skos/core#ConceptScheme,Woonvorm,Codelijst IT141 Woonvorm,Codelijst van woonvormen uit Informatie Type 141 'Gezinslid'.,https://data.vlaanderen.be/id/conceptscheme/IT141,https://data.vlaanderen.be/id/conceptscheme/IT141,,,,
https://data.vlaanderen.be/id/conceptscheme/IT141,http://www.w3.org/2004/02/skos/core#ConceptScheme,IT141,Codelijst IT141,Codelijst van Informatie Type 141 'Gezinslid'.,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Persoon,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Persoon,,,,
https://data.vlaanderen.be/id/conceptscheme/MAGDA/Persoon,http://www.w3.org/2004/02/skos/core#ConceptScheme,MAGDA-Persoon,Codelijsten Implementatiemodel MAGDA Persoon,Codelijsten toegepast in de implementatie van Persoon bij MAGDA volgens het Implementatiemodel MAGDA Persoon.,,,,,,
