@id,@type,notation,prefLabel,definition,inScheme,topConceptOf,exactMatch,,
https://data.vlaanderen.be/id/concept/IT000/Geslacht/v1/0,http://www.w3.org/2004/02/skos/core#Concept,0,Onbekend,Het geslacht is onbekend.,https://data.vlaanderen.be/id/conceptscheme/IT000/Geslacht/v1,https://data.vlaanderen.be/id/conceptscheme/IT000/Geslacht/v1,http://publications.europa.eu/resource/authority/human-sex/NKN,,
https://data.vlaanderen.be/id/concept/IT000/Geslacht/v1/1,http://www.w3.org/2004/02/skos/core#Concept,1,Mannelijk,De persoon is van het mannelijk geslacht.,https://data.vlaanderen.be/id/conceptscheme/IT000/Geslacht/v1,https://data.vlaanderen.be/id/conceptscheme/IT000/Geslacht/v1,http://publications.europa.eu/resource/authority/human-sex/MALE,,
https://data.vlaanderen.be/id/concept/IT000/Geslacht/v1/2,http://www.w3.org/2004/02/skos/core#Concept,2,Vrouwelijk,De persoon is van het vrouwelijk geslacht.,https://data.vlaanderen.be/id/conceptscheme/IT000/Geslacht/v1,https://data.vlaanderen.be/id/conceptscheme/IT000/Geslacht/v1,http://publications.europa.eu/resource/authority/human-sex/FEMALE,,
https://data.vlaanderen.be/id/concept/IT000/Geslacht/v1/UITZONDERING,http://www.w3.org/2004/02/skos/core#Concept,UITZONDERING,Onbekende code,De code is nog niet gekend bij MAGDA voor 'IT000 Geslacht'. Contacteer MAGDA via de Servicedesk.,https://data.vlaanderen.be/id/conceptscheme/IT000/Geslacht/v1,https://data.vlaanderen.be/id/conceptscheme/IT000/Geslacht/v1,,,
https://data.vlaanderen.be/id/concept/IT000/Geslacht/0,http://www.w3.org/2004/02/skos/core#Concept,0,Onbekend,Het geslacht is onbekend.,https://data.vlaanderen.be/id/conceptscheme/IT000/Geslacht,https://data.vlaanderen.be/id/conceptscheme/IT000/Geslacht,http://publications.europa.eu/resource/authority/human-sex/NKN,,
https://data.vlaanderen.be/id/concept/IT000/Geslacht/1,http://www.w3.org/2004/02/skos/core#Concept,1,Mannelijk,De persoon is van het mannelijk geslacht.,https://data.vlaanderen.be/id/conceptscheme/IT000/Geslacht,https://data.vlaanderen.be/id/conceptscheme/IT000/Geslacht,http://publications.europa.eu/resource/authority/human-sex/MALE,,
https://data.vlaanderen.be/id/concept/IT000/Geslacht/2,http://www.w3.org/2004/02/skos/core#Concept,2,Vrouwelijk,De persoon is van het vrouwelijk geslacht.,https://data.vlaanderen.be/id/conceptscheme/IT000/Geslacht,https://data.vlaanderen.be/id/conceptscheme/IT000/Geslacht,http://publications.europa.eu/resource/authority/human-sex/FEMALE,,
https://data.vlaanderen.be/id/concept/IT000/Geslacht/UITZONDERING,http://www.w3.org/2004/02/skos/core#Concept,UITZONDERING,Onbekende code,De code is nog niet gekend bij MAGDA voor 'IT000 Geslacht'. Contacteer MAGDA via de Servicedesk.,https://data.vlaanderen.be/id/conceptscheme/IT000/Geslacht,https://data.vlaanderen.be/id/conceptscheme/IT000/Geslacht,,,
https://data.vlaanderen.be/id/conceptscheme/IT000/Geslacht/v1,http://www.w3.org/2004/02/skos/core#ConceptScheme,Geslacht-v1,Codelijst IT000 Geslacht types (v1),Codelijst van geslacht in Informatie Type 000 'Identificatienummer'.,https://data.vlaanderen.be/id/conceptscheme/IT000/Geslacht,https://data.vlaanderen.be/id/conceptscheme/IT000/Geslacht,,,
https://data.vlaanderen.be/id/conceptscheme/IT000/Geslacht,http://www.w3.org/2004/02/skos/core#ConceptScheme,Geslacht,Codelijst IT000 Geslacht types,Codelijst van geslacht in Informatie Type 000 'Identificatienummer'.,https://data.vlaanderen.be/id/conceptscheme/IT000,https://data.vlaanderen.be/id/conceptscheme/IT000,,,
https://data.vlaanderen.be/id/conceptscheme/IT000,http://www.w3.org/2004/02/skos/core#ConceptScheme,IT000,Codelijst IT000,Codelijst van Informatie Type 000 'Identificatienummer'.,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Persoon,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Persoon,,,
https://data.vlaanderen.be/id/conceptscheme/MAGDA/Persoon,http://www.w3.org/2004/02/skos/core#ConceptScheme,MAGDA-Persoon,Codelijsten Implementatiemodel MAGDA Persoon,Codelijsten toegepast in de implementatie van Persoon bij MAGDA volgens het Implementatiemodel MAGDA Persoon.,,,,,
