@id,@type,notation,prefLabel,definition,inScheme,topConceptOf,,
https://data.vlaanderen.be/id/concept/IT001/AdministratiefBeheerdertype/v1/Gemeente,http://www.w3.org/2004/02/skos/core#Concept,Gemeente,Gemeente,De administratief beheerder van het dossier is een Belgische gemeente.,https://data.vlaanderen.be/id/conceptscheme/IT001/AdministratiefBeheerdertype/v1,https://data.vlaanderen.be/id/conceptscheme/IT001/AdministratiefBeheerdertype/v1,,
https://data.vlaanderen.be/id/concept/IT001/AdministratiefBeheerdertype/v1/DiplomatiekePost,http://www.w3.org/2004/02/skos/core#Concept,DiplomatiekePost,Diplomatieke Post,De administratief beheerder van het dossier is een diplomatieke post in het buitenland zoals een ambassade.,https://data.vlaanderen.be/id/conceptscheme/IT001/AdministratiefBeheerdertype/v1,https://data.vlaanderen.be/id/conceptscheme/IT001/AdministratiefBeheerdertype/v1,,
https://data.vlaanderen.be/id/concept/IT001/AdministratiefBeheerdertype/v1/DienstVreemdelingenzaken,http://www.w3.org/2004/02/skos/core#Concept,DienstVreemdelingenzaken,Dienst Vreemdelingenzaken (DVZ),De administratief beheerder van het dossier is de federale overheidsdienst Dienst Vreemdelingenzaken.,https://data.vlaanderen.be/id/conceptscheme/IT001/AdministratiefBeheerdertype/v1,https://data.vlaanderen.be/id/conceptscheme/IT001/AdministratiefBeheerdertype/v1,,
https://data.vlaanderen.be/id/concept/IT001/AdministratiefBeheerdertype/v1/UITZONDERING,http://www.w3.org/2004/02/skos/core#Concept,UITZONDERING,Onbekende code,De code is nog niet gekend bij MAGDA voor 'IT001 Administratiefbeheerder'. Contacteer MAGDA via de Servicedesk.,https://data.vlaanderen.be/id/conceptscheme/IT001/AdministratiefBeheerdertype/v1,https://data.vlaanderen.be/id/conceptscheme/IT001/AdministratiefBeheerdertype/v1,,
https://data.vlaanderen.be/id/concept/IT001/AdministratiefBeheerdertype/Gemeente,http://www.w3.org/2004/02/skos/core#Concept,Gemeente,Gemeente,De administratief beheerder van het dossier is een Belgische gemeente.,https://data.vlaanderen.be/id/conceptscheme/IT001/AdministratiefBeheerdertype,https://data.vlaanderen.be/id/conceptscheme/IT001/AdministratiefBeheerdertype,,
https://data.vlaanderen.be/id/concept/IT001/AdministratiefBeheerdertype/DiplomatiekePost,http://www.w3.org/2004/02/skos/core#Concept,DiplomatiekePost,Diplomatieke Post,De administratief beheerder van het dossier is een diplomatieke post in het buitenland zoals een ambassade.,https://data.vlaanderen.be/id/conceptscheme/IT001/AdministratiefBeheerdertype,https://data.vlaanderen.be/id/conceptscheme/IT001/AdministratiefBeheerdertype,,
https://data.vlaanderen.be/id/concept/IT001/AdministratiefBeheerdertype/DienstVreemdelingenzaken,http://www.w3.org/2004/02/skos/core#Concept,DienstVreemdelingenzaken,Dienst Vreemdelingenzaken (DVZ),De administratief beheerder van het dossier is de federale overheidsdienst Dienst Vreemdelingenzaken.,https://data.vlaanderen.be/id/conceptscheme/IT001/AdministratiefBeheerdertype,https://data.vlaanderen.be/id/conceptscheme/IT001/AdministratiefBeheerdertype,,
https://data.vlaanderen.be/id/concept/IT001/AdministratiefBeheerdertype/UITZONDERING,http://www.w3.org/2004/02/skos/core#Concept,UITZONDERING,Onbekende code,De code is nog niet gekend bij MAGDA voor 'IT001 Administratiefbeheerder'. Contacteer MAGDA via de Servicedesk.,https://data.vlaanderen.be/id/conceptscheme/IT001/AdministratiefBeheerdertype,https://data.vlaanderen.be/id/conceptscheme/IT001/AdministratiefBeheerdertype,,
https://data.vlaanderen.be/id/conceptscheme/IT001/AdministratiefBeheerdertype/v1,http://www.w3.org/2004/02/skos/core#ConceptScheme,AdministratiefBeheerdertype-v1,Codelijst IT001 Administratief beheerder types (v1),Codelijst van de administratief beheerder types in Informatie Type 001 'Gemeente van verblijf'.,https://data.vlaanderen.be/id/conceptscheme/IT001/AdministratiefBeheerdertype,https://data.vlaanderen.be/id/conceptscheme/IT001/AdministratiefBeheerdertype,,
https://data.vlaanderen.be/id/conceptscheme/IT001/AdministratiefBeheerdertype,http://www.w3.org/2004/02/skos/core#ConceptScheme,AdministratiefBeheerdertype,Codelijst IT001 Administratief beheerder types,Codelijst van de administratief beheerder types in Informatie Type 001 'Gemeente van verblijf'.,https://data.vlaanderen.be/id/conceptscheme/IT001,https://data.vlaanderen.be/id/conceptscheme/IT001,,
https://data.vlaanderen.be/id/conceptscheme/IT001,http://www.w3.org/2004/02/skos/core#ConceptScheme,IT001,Codelijst IT001,Codelijst van Informatie Type 001 'Gemeente van verblijf'.,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Persoon,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Persoon,,
https://data.vlaanderen.be/id/conceptscheme/MAGDA/Persoon,http://www.w3.org/2004/02/skos/core#ConceptScheme,MAGDA-Persoon,Codelijsten Implementatiemodel MAGDA Persoon,Codelijsten toegepast in de implementatie van Persoon bij MAGDA volgens het Implementatiemodel MAGDA Persoon.,,,,
