@id,@type,notation,prefLabel,definition,inScheme,topConceptOf,,,
https://data.vlaanderen.be/id/concept/IT024/Situatie/v1/0010,http://www.w3.org/2004/02/skos/core#Concept,10,Inschrijving bij OCMW,Persoon die bij gebrek aan voldoende middelen niet over een vaste verblijfplaats beschikt en ingeschreven is bij het OCMW.,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,,,
https://data.vlaanderen.be/id/concept/IT024/Situatie/v1/0011,http://www.w3.org/2004/02/skos/core#Concept,11,Inschrijving bij een burger,Persoon die bij gebrek aan voldoende middelen niet over een vaste verblijfplaats beschikt en ingeschreven is bij een burger.,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,,,
https://data.vlaanderen.be/id/concept/IT024/Situatie/v1/0020,http://www.w3.org/2004/02/skos/core#Concept,20,Mobiele woning,,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,,,
https://data.vlaanderen.be/id/concept/IT024/Situatie/v1/0021,http://www.w3.org/2004/02/skos/core#Concept,21,Hechtenis,,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,,,
https://data.vlaanderen.be/id/concept/IT024/Situatie/v1/0022,http://www.w3.org/2004/02/skos/core#Concept,22,Beroepsredenen,Beroepsredenen voor een maximale duur van 1 jaar.,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,,,
https://data.vlaanderen.be/id/concept/IT024/Situatie/v1/0023,http://www.w3.org/2004/02/skos/core#Concept,23,Buitenlandse opdracht - Defensie,Persoon voert een buitenlandse opdracht uit voor Defensie.,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,,,
https://data.vlaanderen.be/id/concept/IT024/Situatie/v1/0024,http://www.w3.org/2004/02/skos/core#Concept,24,Buitenlandse opdracht - Politie,Persoon voert een buitenlandse opdracht uit voor Politie.,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,,,
https://data.vlaanderen.be/id/concept/IT024/Situatie/v1/0025,http://www.w3.org/2004/02/skos/core#Concept,25,Dienstplicht,,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,,,
https://data.vlaanderen.be/id/concept/IT024/Situatie/v1/0026,http://www.w3.org/2004/02/skos/core#Concept,26,Buitenlandse opdracht - Ambtenaar,,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,,,
https://data.vlaanderen.be/id/concept/IT024/Situatie/v1/0027,http://www.w3.org/2004/02/skos/core#Concept,27,Buitenlandse opdracht - Coöperatie,,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,,,
https://data.vlaanderen.be/id/concept/IT024/Situatie/v1/0028,http://www.w3.org/2004/02/skos/core#Concept,28,Slachtoffer,,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,,,
https://data.vlaanderen.be/id/concept/IT024/Situatie/v1/UITZONDERING,http://www.w3.org/2004/02/skos/core#Concept,UITZONDERING,Onbekende code,De code is nog niet gekend bij MAGDA voor 'IT024 Situatie'. Contacteer MAGDA via de Servicedesk.,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,,,
https://data.vlaanderen.be/id/concept/IT024/Situatie/0010,http://www.w3.org/2004/02/skos/core#Concept,10,Inschrijving bij OCMW,Persoon die bij gebrek aan voldoende middelen niet over een vaste verblijfplaats beschikt en ingeschreven is bij het OCMW.,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie,,,
https://data.vlaanderen.be/id/concept/IT024/Situatie/0011,http://www.w3.org/2004/02/skos/core#Concept,11,Inschrijving bij een burger,Persoon die bij gebrek aan voldoende middelen niet over een vaste verblijfplaats beschikt en ingeschreven is bij een burger.,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie,,,
https://data.vlaanderen.be/id/concept/IT024/Situatie/0020,http://www.w3.org/2004/02/skos/core#Concept,20,Mobiele woning,,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie,,,
https://data.vlaanderen.be/id/concept/IT024/Situatie/0021,http://www.w3.org/2004/02/skos/core#Concept,21,Hechtenis,,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie,,,
https://data.vlaanderen.be/id/concept/IT024/Situatie/0022,http://www.w3.org/2004/02/skos/core#Concept,22,Beroepsredenen,Beroepsredenen voor een maximale duur van 1 jaar.,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie,,,
https://data.vlaanderen.be/id/concept/IT024/Situatie/0023,http://www.w3.org/2004/02/skos/core#Concept,23,Buitenlandse opdracht - Defensie,Persoon voert een buitenlandse opdracht uit voor Defensie.,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie,,,
https://data.vlaanderen.be/id/concept/IT024/Situatie/0024,http://www.w3.org/2004/02/skos/core#Concept,24,Buitenlandse opdracht - Politie,Persoon voert een buitenlandse opdracht uit voor Politie.,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie,,,
https://data.vlaanderen.be/id/concept/IT024/Situatie/0025,http://www.w3.org/2004/02/skos/core#Concept,25,Dienstplicht,,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie,,,
https://data.vlaanderen.be/id/concept/IT024/Situatie/0026,http://www.w3.org/2004/02/skos/core#Concept,26,Buitenlandse opdracht - Ambtenaar,,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie,,,
https://data.vlaanderen.be/id/concept/IT024/Situatie/0027,http://www.w3.org/2004/02/skos/core#Concept,27,Buitenlandse opdracht - Coöperatie,,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie,,,
https://data.vlaanderen.be/id/concept/IT024/Situatie/0028,http://www.w3.org/2004/02/skos/core#Concept,28,Slachtoffer,,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie,,,
https://data.vlaanderen.be/id/concept/IT024/Situatie/UITZONDERING,http://www.w3.org/2004/02/skos/core#Concept,UITZONDERING,Onbekende code,De code is nog niet gekend bij MAGDA voor 'IT024 Situatie'. Contacteer MAGDA via de Servicedesk.,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie,,,
https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie/v1,http://www.w3.org/2004/02/skos/core#ConceptScheme,Situatie-v1,Codelijst IT024 Situatie (v1),Codelijst van de situaties in Informatie Type 024 'Referentieadres'.,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie,https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie,,,
https://data.vlaanderen.be/id/conceptscheme/IT024/Situatie,http://www.w3.org/2004/02/skos/core#ConceptScheme,Situatie,Codelijst IT024 Situatie,Codelijst van de situaties in Informatie Type 024 'Referentieadres'.,https://data.vlaanderen.be/id/conceptscheme/IT024,https://data.vlaanderen.be/id/conceptscheme/IT024,,,
https://data.vlaanderen.be/id/conceptscheme/IT024,http://www.w3.org/2004/02/skos/core#ConceptScheme,IT024,Codelijst IT024,Codelijst van Informatie Type 024 'Referentieadres'.,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Persoon,https://data.vlaanderen.be/id/conceptscheme/MAGDA/Persoon,,,
https://data.vlaanderen.be/id/conceptscheme/MAGDA/Persoon,http://www.w3.org/2004/02/skos/core#ConceptScheme,MAGDA-Persoon,Codelijsten Implementatiemodel MAGDA Persoon,Codelijsten toegepast in de implementatie van Persoon bij MAGDA volgens het Implementatiemodel MAGDA Persoon.,,,,,
