@id,@type,notation,prefLabel,definition,inScheme,topConceptOf,prefLabel_validatie,
https://data.vlaanderen.be/id/concept/OrganisatieStatus/ST,http://www.w3.org/2004/02/skos/core#Concept,ST,Stopgezet,De onderneming is stopgezet.,https://data.vlaanderen.be/id/conceptscheme/OrganisatieStatus,https://data.vlaanderen.be/id/conceptscheme/OrganisatieStatus,,
https://data.vlaanderen.be/id/concept/OrganisatieStatus/JU,http://www.w3.org/2004/02/skos/core#Concept,JU,Juridische creatie,De onderneming is juridisch gecreerd.,https://data.vlaanderen.be/id/conceptscheme/OrganisatieStatus,https://data.vlaanderen.be/id/conceptscheme/OrganisatieStatus,,
https://data.vlaanderen.be/id/concept/OrganisatieStatus/BK,http://www.w3.org/2004/02/skos/core#Concept,BK,Bekendgemaakt,De onderneming is bekend gemaakt.,https://data.vlaanderen.be/id/conceptscheme/OrganisatieStatus,https://data.vlaanderen.be/id/conceptscheme/OrganisatieStatus,,
https://data.vlaanderen.be/id/concept/OrganisatieStatus/AN,http://www.w3.org/2004/02/skos/core#Concept,AN,Geannuleerd,De onderneming is geannuleerd.,https://data.vlaanderen.be/id/conceptscheme/OrganisatieStatus,https://data.vlaanderen.be/id/conceptscheme/OrganisatieStatus,,
https://data.vlaanderen.be/id/concept/OrganisatieStatus/AF,http://www.w3.org/2004/02/skos/core#Concept,AF,Afgesloten,De onderneming is afgesloten.,https://data.vlaanderen.be/id/conceptscheme/OrganisatieStatus,https://data.vlaanderen.be/id/conceptscheme/OrganisatieStatus,,
https://data.vlaanderen.be/id/concept/OrganisatieStatus/AC,http://www.w3.org/2004/02/skos/core#Concept,AC,Actief,De onderneming is actief.,https://data.vlaanderen.be/id/conceptscheme/OrganisatieStatus,https://data.vlaanderen.be/id/conceptscheme/OrganisatieStatus,,
https://data.vlaanderen.be/id/conceptscheme/OrganisatieStatus,http://www.w3.org/2004/02/skos/core#ConceptScheme,OrganisatieStatus,Codelijst Organisatie statussen,Codelijst van mogelijke statussen voor een onderneming.,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
