@id,@type,notation,prefLabel,definition,inScheme,topConceptOf,remarks,,
https://data.vlaanderen.be/id/concept/Rechtstoestandtype/000,http://www.w3.org/2004/02/skos/core#Concept,000,Normale toestand,De entiteit bevindt zich in een normale rechtstoestand.,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,,,
https://data.vlaanderen.be/id/concept/Rechtstoestandtype/001,http://www.w3.org/2004/02/skos/core#Concept,001,Juridische oprichting,,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,,,
https://data.vlaanderen.be/id/concept/Rechtstoestandtype/002,http://www.w3.org/2004/02/skos/core#Concept,002,Verlenging,,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,,,
https://data.vlaanderen.be/id/concept/Rechtstoestandtype/003,http://www.w3.org/2004/02/skos/core#Concept,003,Vervanging van het ondernemingsnummer,Het ondernemingsnummer werd vervangen.,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,,,
https://data.vlaanderen.be/id/concept/Rechtstoestandtype/006,http://www.w3.org/2004/02/skos/core#Concept,006,Stopzetting wegens vervanging van het ondernemingsnummer,,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,,,
https://data.vlaanderen.be/id/concept/Rechtstoestandtype/010,http://www.w3.org/2004/02/skos/core#Concept,010,Ontbinding van rechtswege,,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,Indien het nieuwe INSZ enkel uit nullen bestaat betekent dit dat op het moment van annulatie van het oude dossier de persoon niet voldeed aan de voorwaarden om te worden ingeschreven. Er wordt in dat geval geen referentiedossier opgemaakt en het rijksregisternummer wordt ingevuld met nullen.,,
https://data.vlaanderen.be/id/concept/Rechtstoestandtype/011,http://www.w3.org/2004/02/skos/core#Concept,011,Activiteitstopzetting in België (buitenlandse entiteit),De activiteiten in Belgie werden topgezet door een buitenlandse entiteit.,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,Er kan slechts 1 voorkomen van de bron overgenomen worden in het MAGDA antwoord. In een annotatie element is terug te vinden op welk specifiek element dit betrekking heeft. Zie voor het meerder voorkomen van het Beheerder element.,,
https://data.vlaanderen.be/id/concept/Rechtstoestandtype/012,http://www.w3.org/2004/02/skos/core#Concept,012,Vrijwillige ontbinding – vereffening,De entiteit is vrijwillig ontbonden.,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,,,
https://data.vlaanderen.be/id/concept/Rechtstoestandtype/013,http://www.w3.org/2004/02/skos/core#Concept,013,Gerechtelijke ontbinding of nietigheid,De entiteit is gedwongen ontbonden via een gerechtelijke procedure.,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,,,
https://data.vlaanderen.be/id/concept/Rechtstoestandtype/014,http://www.w3.org/2004/02/skos/core#Concept,014,Sluiting van vereffening,,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,,,
