@id,@type,notation,prefLabel,definition,inScheme,topConceptOf,,,
https://data.vlaanderen.be/id/conceptscheme/Activiteitstype/v1,http://www.w3.org/2004/02/skos/core#ConceptScheme,Activiteitstype-v1,Codelijst soort activiteit (v1),Soorten activiteiten van een onderneming.,https://data.vlaanderen.be/id/conceptscheme/VKBO/Onderneming/v1,https://data.vlaanderen.be/id/conceptscheme/VKBO/Onderneming/v1,,,
https://data.vlaanderen.be/id/conceptscheme/Activiteitstype,http://www.w3.org/2004/02/skos/core#ConceptScheme,Activiteitstype,Codelijst soort activiteit,Soorten activiteiten van een onderneming.,https://data.vlaanderen.be/id/conceptscheme/VKBO/Onderneming,https://data.vlaanderen.be/id/conceptscheme/VKBO/Onderneming,,,
https://data.vlaanderen.be/id/conceptscheme/Rechtspersoonlijkheidtype/v1,http://www.w3.org/2004/02/skos/core#ConceptScheme,Rechtspersoonlijkheidtype-v1,Codelijst soort rechtspersoonlijkheid (v1),Soorten rechtpersoonlijkheidsvormen van een onderneming.,https://data.vlaanderen.be/id/conceptscheme/VKBO/Onderneming/v1,https://data.vlaanderen.be/id/conceptscheme/VKBO/Onderneming/v1,,,
https://data.vlaanderen.be/id/conceptscheme/Rechtspersoonlijkheidtype,http://www.w3.org/2004/02/skos/core#ConceptScheme,Rechtspersoonlijkheidtype,Codelijst soort rechtspersoonlijkheid,Soorten rechtpersoonlijkheidsvormen van een onderneming.,https://data.vlaanderen.be/id/conceptscheme/VKBO/Onderneming,https://data.vlaanderen.be/id/conceptscheme/VKBO/Onderneming,,,
https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype/v1,http://www.w3.org/2004/02/skos/core#ConceptScheme,Rechtstoestandtype-v1,Codelijst rechtstoestanden (v1),De rechtstoestand van de onderneming.,https://data.vlaanderen.be/id/conceptscheme/VKBO/Onderneming/v1,https://data.vlaanderen.be/id/conceptscheme/VKBO/Onderneming/v1,,,
https://data.vlaanderen.be/id/conceptscheme/Rechtstoestandtype,http://www.w3.org/2004/02/skos/core#ConceptScheme,Rechtstoestandtype,Codelijst rechtstoestanden,De rechtstoestand van de onderneming.,https://data.vlaanderen.be/id/conceptscheme/VKBO/Onderneming,https://data.vlaanderen.be/id/conceptscheme/VKBO/Onderneming,,,
https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype/v1,http://www.w3.org/2004/02/skos/core#ConceptScheme,Rechtsvormtype-v1,Codelijst rechtsvormen (v1),Soorten rechtsvormen van een onderneming.,https://data.vlaanderen.be/id/conceptscheme/VKBO/Onderneming/v1,https://data.vlaanderen.be/id/conceptscheme/VKBO/Onderneming/v1,,,
https://data.vlaanderen.be/id/conceptscheme/Rechtsvormtype,http://www.w3.org/2004/02/skos/core#ConceptScheme,Rechtsvormtype,Codelijst rechtsvormen,Soorten rechtsvormen van een onderneming.,https://data.vlaanderen.be/id/conceptscheme/VKBO/Onderneming,https://data.vlaanderen.be/id/conceptscheme/VKBO/Onderneming,,,
https://data.vlaanderen.be/id/conceptscheme/OrganisatieStatus/v1,http://www.w3.org/2004/02/skos/core#ConceptScheme,OrganisatieStatus-v1,Codelijst Organisatie statussen (v1),Codelijst van mogelijke statussen voor een onderneming.,https://data.vlaanderen.be/id/conceptscheme/VKBO/Onderneming/v1,https://data.vlaanderen.be/id/conceptscheme/VKBO/Onderneming/v1,,,
https://data.vlaanderen.be/id/conceptscheme/OrganisatieStatus,http://www.w3.org/2004/02/skos/core#ConceptScheme,OrganisatieStatus,Codelijst Organisatie statussen,Codelijst van mogelijke statussen voor een onderneming.,https://data.vlaanderen.be/id/conceptscheme/VKBO/Onderneming,https://data.vlaanderen.be/id/conceptscheme/VKBO/Onderneming,,,
