@id,@type,notation,prefLabel,definition,inScheme,topConceptOf,prefLabel_validatie,
https://data.vlaanderen.be/id/concept/Doorhalingstype/Adres,http://www.w3.org/2004/02/skos/core#Concept,Adres,Ambstbehalve doorhaling adres,Het adres is ambstbehalve doorgehaald.,https://data.vlaanderen.be/id/conceptscheme/Doorhalingstype,https://data.vlaanderen.be/id/conceptscheme/Doorhalingstype,,
https://data.vlaanderen.be/id/concept/Doorhalingstype/Onderneming,http://www.w3.org/2004/02/skos/core#Concept,Onderneming,Ambstbehalve doorhaling onderneming,De onderneming is ambstbehalve doorgehaald.,https://data.vlaanderen.be/id/conceptscheme/Doorhalingstype,https://data.vlaanderen.be/id/conceptscheme/Doorhalingstype,,
https://data.vlaanderen.be/id/conceptscheme/Doorhalingstype,http://www.w3.org/2004/02/skos/core#ConceptScheme,Doorhalingstype,Codelijst soorten doorhalingen,Codelijst soorten doorhalingen die toegepast kunnen worden op ondernemingen en vestigingen.,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
