@id,@type,notation,prefLabel,definition,inScheme,topConceptOf,prefLabel_validatie,
https://data.vlaanderen.be/id/concept/RedenDoorhaling/001,http://www.w3.org/2004/02/skos/core#Concept,001,Doorhaling op basis van een vonnis/arrest,,http://www.w3.org/2004/02/skos/core#ConceptScheme,http://www.w3.org/2004/02/skos/core#ConceptScheme,,
https://data.vlaanderen.be/id/concept/RedenDoorhaling/002,http://www.w3.org/2004/02/skos/core#Concept,002,Doorhaling op basis van een proces-verbaal/onderzoeksverslag,,http://www.w3.org/2004/02/skos/core#ConceptScheme,http://www.w3.org/2004/02/skos/core#ConceptScheme,,
https://data.vlaanderen.be/id/concept/RedenDoorhaling/003,http://www.w3.org/2004/02/skos/core#Concept,003,Doorhaling op basis van het RRNP,,http://www.w3.org/2004/02/skos/core#ConceptScheme,http://www.w3.org/2004/02/skos/core#ConceptScheme,,
https://data.vlaanderen.be/id/concept/RedenDoorhaling/004,http://www.w3.org/2004/02/skos/core#Concept,004,Doorhaling ten gevolge van niet-neerlegging jaarrekening ,,http://www.w3.org/2004/02/skos/core#ConceptScheme,http://www.w3.org/2004/02/skos/core#ConceptScheme,,
https://data.vlaanderen.be/id/concept/RedenDoorhaling/005,http://www.w3.org/2004/02/skos/core#Concept,005,Doorhaling ten gevolge van niet vervullen UBO-verplichtingen,,http://www.w3.org/2004/02/skos/core#ConceptScheme,http://www.w3.org/2004/02/skos/core#ConceptScheme,,
https://data.vlaanderen.be/id/concept/RedenDoorhaling/006,http://www.w3.org/2004/02/skos/core#Concept,006,Doorhaling na twee brieven zonder gevolg,,http://www.w3.org/2004/02/skos/core#ConceptScheme,http://www.w3.org/2004/02/skos/core#ConceptScheme,,
https://data.vlaanderen.be/id/concept/RedenDoorhaling/007,http://www.w3.org/2004/02/skos/core#Concept,007,Doorhaling op basis van een authentieke bron,,http://www.w3.org/2004/02/skos/core#ConceptScheme,http://www.w3.org/2004/02/skos/core#ConceptScheme,,
https://data.vlaanderen.be/id/concept/RedenDoorhaling/999,http://www.w3.org/2004/02/skos/core#Concept,999,Andere doorhalingen,,http://www.w3.org/2004/02/skos/core#ConceptScheme,http://www.w3.org/2004/02/skos/core#ConceptScheme,,
https://data.vlaanderen.be/id/conceptscheme/RedenDoorhaling,http://www.w3.org/2004/02/skos/core#ConceptScheme,RedenDoorhaling,Codelijst doorhaling redenen,Codelijst met mogelijke redenen om een onderneming of vestiging door te halen.,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
